[2022-10-25 09:46:27] - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@37c5284a
[2022-10-25 09:46:27] - Adding type registration calendar -> org.hibernate.type.CalendarType@64518270
[2022-10-25 09:46:27] - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@64518270
[2022-10-25 09:46:27] - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@64518270
[2022-10-25 09:46:27] - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@52b959df
[2022-10-25 09:46:27] - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@1f7cec93
[2022-10-25 09:46:27] - Adding type registration locale -> org.hibernate.type.LocaleType@59636c47
[2022-10-25 09:46:27] - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@59636c47
[2022-10-25 09:46:27] - Adding type registration currency -> org.hibernate.type.CurrencyType@59096b66
[2022-10-25 09:46:27] - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@59096b66
[2022-10-25 09:46:27] - Adding type registration timezone -> org.hibernate.type.TimeZoneType@6c538eb2
[2022-10-25 09:46:27] - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@6c538eb2
[2022-10-25 09:46:27] - Adding type registration class -> org.hibernate.type.ClassType@24dd44f9
[2022-10-25 09:46:27] - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@24dd44f9
[2022-10-25 09:46:27] - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@36359723
[2022-10-25 09:46:27] - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@36359723
[2022-10-25 09:46:27] - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@53eba4b8
[2022-10-25 09:46:27] - Adding type registration binary -> org.hibernate.type.BinaryType@7a65a360
[2022-10-25 09:46:27] - Adding type registration byte[] -> org.hibernate.type.BinaryType@7a65a360
[2022-10-25 09:46:27] - Adding type registration [B -> org.hibernate.type.BinaryType@7a65a360
[2022-10-25 09:46:27] - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@510689af
[2022-10-25 09:46:27] - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@510689af
[2022-10-25 09:46:27] - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@510689af
[2022-10-25 09:46:27] - Adding type registration row_version -> org.hibernate.type.RowVersionType@3fdcde7a
[2022-10-25 09:46:27] - Adding type registration image -> org.hibernate.type.ImageType@1961d75a
[2022-10-25 09:46:27] - Adding type registration characters -> org.hibernate.type.CharArrayType@5f08fe00
[2022-10-25 09:46:27] - Adding type registration char[] -> org.hibernate.type.CharArrayType@5f08fe00
[2022-10-25 09:46:27] - Adding type registration [C -> org.hibernate.type.CharArrayType@5f08fe00
[2022-10-25 09:46:27] - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@7f0a133d
[2022-10-25 09:46:27] - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@7f0a133d
[2022-10-25 09:46:27] - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@7f0a133d
[2022-10-25 09:46:27] - Adding type registration text -> org.hibernate.type.TextType@4b765e92
[2022-10-25 09:46:27] - Adding type registration ntext -> org.hibernate.type.NTextType@622d7e4
[2022-10-25 09:46:27] - Adding type registration blob -> org.hibernate.type.BlobType@6e8fdd19
[2022-10-25 09:46:27] - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@6e8fdd19
[2022-10-25 09:46:27] - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@37e0056e
[2022-10-25 09:46:27] - Adding type registration clob -> org.hibernate.type.ClobType@724bf25f
[2022-10-25 09:46:27] - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@724bf25f
[2022-10-25 09:46:27] - Adding type registration nclob -> org.hibernate.type.NClobType@528c8c1
[2022-10-25 09:46:27] - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@528c8c1
[2022-10-25 09:46:27] - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@643ba1ed
[2022-10-25 09:46:27] - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@2c3158e0
[2022-10-25 09:46:27] - Adding type registration serializable -> org.hibernate.type.SerializableType@5e1a986c
[2022-10-25 09:46:27] - Adding type registration object -> org.hibernate.type.ObjectType@15e1f8fe
[2022-10-25 09:46:27] - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@15e1f8fe
[2022-10-25 09:46:27] - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@626e0c86
[2022-10-25 09:46:27] - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@28ee0a3c
[2022-10-25 09:46:27] - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@2dd1086
[2022-10-25 09:46:27] - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@6b8d54da
[2022-10-25 09:46:27] - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@79957f11
[2022-10-25 09:46:27] - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@217235f5
[2022-10-25 09:46:27] - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@4b41587d
[2022-10-25 09:46:27] - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@4aebee4b
[2022-10-25 09:46:27] - Injecting JPA temp ClassLoader [org.springframework.instrument.classloading.SimpleThrowawayClassLoader@650aa077] into BootstrapContext; was [null]
[2022-10-25 09:46:27] - ClassLoaderAccessImpl#injectTempClassLoader(org.springframework.instrument.classloading.SimpleThrowawayClassLoader@650aa077) [was null]
[2022-10-25 09:46:27] - Injecting ScanEnvironment [org.hibernate.jpa.boot.internal.StandardJpaScanEnvironmentImpl@5fffb692] into BootstrapContext; was [null]
[2022-10-25 09:46:27] - Injecting ScanOptions [org.hibernate.boot.archive.scan.internal.StandardScanOptions@48cb2d73] into BootstrapContext; was [org.hibernate.boot.archive.scan.internal.StandardScanOptions@243bf087]
[2022-10-25 09:46:27] - Injecting JPA temp ClassLoader [null] into BootstrapContext; was [org.springframework.instrument.classloading.SimpleThrowawayClassLoader@650aa077]
[2022-10-25 09:46:27] - ClassLoaderAccessImpl#injectTempClassLoader(null) [was org.springframework.instrument.classloading.SimpleThrowawayClassLoader@650aa077]
[2022-10-25 09:46:27] - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[2022-10-25 09:46:27] - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[2022-10-25 09:46:27] - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[2022-10-25 09:46:27] - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[2022-10-25 09:46:27] - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
